"posting_date","currency_date","amount","category"
"16.08.2025","16.08.2025",-38.16,"Jedzenie"
"16.08.2025","16.08.2025",300,"Przychody"
"16.08.2025","16.08.2025",-20.72,"Jedzenie"
"15.08.2025","15.08.2025",-9.9,"Gotowe jedzenie"
"15.08.2025","14.08.2025",-21.66,"Podroze"
"14.08.2025","14.08.2025",-2,"Transport publiczny"
"14.08.2025","14.08.2025",-11.48,"Jedzenie"
"14.08.2025","14.08.2025",-59.99,"Ubrania"
"14.08.2025","14.08.2025",-233.97,"Ubrania"
"11.08.2025","10.08.2025",-14.99,"Biezace"
"11.08.2025","10.08.2025",227,"Podroze"
"09.08.2025","09.08.2025",-2.2,"Transport publiczny"
"09.08.2025","09.08.2025",-15.39,"Jedzenie"
"09.08.2025","09.08.2025",-1.7,"Transport publiczny"
"09.08.2025","09.08.2025",-2.15,"Jedzenie"
"09.08.2025","09.08.2025",-2.15,"Jedzenie"
"09.08.2025","09.08.2025",-21.07,"Jedzenie"
"09.08.2025","09.08.2025",-12.65,"Jedzenie"
"08.08.2025","08.08.2025",-18.84,"Jedzenie"
"08.08.2025","08.08.2025",-265.24,"Podroze"
"05.08.2025","05.08.2025",-850,"Podroze"
"05.08.2025","04.08.2025",2000,"Przychody"
"21.07.2025","20.07.2025",-7,"Podroze"
"19.07.2025","19.07.2025",-7.29,"Jedzenie"
"19.07.2025","18.07.2025",-1.7,"Transport publiczny"
"18.07.2025","18.07.2025",-2.2,"Transport publiczny"
"18.07.2025","18.07.2025",-2.29,"Jedzenie"
"18.07.2025","18.07.2025",-3.4,"Transport publiczny"
"18.07.2025","18.07.2025",-6.08,"Jedzenie"
"18.07.2025","18.07.2025",-62.94,"Kosmetyki"
"18.07.2025","18.07.2025",-16.79,"Jedzenie"
"18.07.2025","18.07.2025",-5.48,"Jedzenie"
"17.07.2025","17.07.2025",-6.49,"Jedzenie"
"17.07.2025","17.07.2025",-4.35,"Jedzenie"
"17.07.2025","17.07.2025",-3.4,"Transport publiczny"
