"date","datePosted","amount","category"
2025-05-26,2025-05-29,-350,"Gotowe jedzenie"
2025-05-27,2025-05-29,-4809,"Jedzenie i środki czystości"
2025-05-27,2025-05-29,-6746,"Jedzenie i środki czystości"
2025-05-29,2025-05-31,-1080,"Jedzenie i środki czystości"
2025-05-30,2025-06-01,-287,"Jedzenie i środki czystości"
2025-05-31,2025-05-31,-170,"Komunikacja miejska"
2025-06-01,2025-06-01,10000,"Zwrot pieniędzy"
2025-06-01,2025-06-01,-170,"Komunikacja miejska"
2025-06-01,2025-06-03,-1610,"Gotowe jedzenie"
2025-06-02,2025-06-04,-2600,"Inne"
2025-06-02,2025-06-04,-1827,"Jedzenie i środki czystości"
2025-06-02,2025-06-04,-3086,"Jedzenie i środki czystości"
2025-06-03,2025-06-03,-557,"Pranie"
2025-06-03,2025-06-03,-400,"Pranie"
2025-06-03,2025-06-05,-2268,"Jedzenie i środki czystości"
2025-06-03,2025-06-05,-2139,"Jedzenie i środki czystości"
2025-06-04,2025-06-04,85000,"Politechnika"
2025-06-04,2025-06-06,-697,"Jedzenie i środki czystości"
2025-06-04,2025-06-06,-1650,"Gotowe jedzenie"
2025-06-06,2025-06-08,-1700,"Jedzenie i środki czystości"
2025-06-07,2025-06-07,-170,"Komunikacja miejska"
2025-06-07,2025-06-07,-499,"Zwrot pieniędzy"
2025-06-07,2025-06-09,-2515,"Gotowe jedzenie"
2025-06-08,2025-06-10,-1640,"Gotowe jedzenie"
2025-06-09,2025-06-11,-2005,"Gotowe jedzenie"
2025-06-10,2025-06-12,-3071,"Jedzenie i środki czystości"
2025-06-10,2025-06-12,-2542,"Gotowe jedzenie"
2025-06-10,2025-06-12,-1759,"Jedzenie i środki czystości"
2025-06-11,2025-06-13,-630,"Jedzenie i środki czystości"
2025-06-12,2025-06-12,-557,"Pranie"
2025-06-12,2025-06-12,-400,"Pranie"
2025-06-12,2025-06-14,-1628,"Jedzenie i środki czystości"
2025-06-12,2025-06-14,-4843,"Jedzenie i środki czystości"
2025-06-14,2025-06-16,-3330,"Jedzenie i środki czystości"
2025-06-14,2025-06-16,-2398,"Jedzenie i środki czystości"
2025-06-16,2025-06-16,-170,"Komunikacja miejska"
2025-06-16,2025-06-16,-170,"Komunikacja miejska"
2025-06-16,2025-06-18,-1650,"Gotowe jedzenie"
2025-06-17,2025-06-19,-5306,"Jedzenie i środki czystości"
2025-06-17,2025-06-19,-5002,"Jedzenie i środki czystości"
2025-06-18,2025-06-18,-50000,"Politechnika"
2025-06-18,2025-06-18,-170,"Komunikacja miejska"
2025-06-20,2025-06-20,-170,"Komunikacja miejska"
2025-06-20,2025-06-22,-1692,"Jedzenie i środki czystości"
2025-06-20,2025-06-22,-13999,"Inne"
2025-06-20,2025-06-22,-2498,"Jedzenie i środki czystości"
2025-06-22,2025-06-22,-557,"Pranie"
2025-06-22,2025-06-22,-400,"Pranie"
