timestamp,duration,data.app
2026-01-24T12:48:16.218Z,0.247,Spotify
2026-01-24T12:48:09.835Z,6.382,Ekran zawsze włączony i edytor Ekranu blokady
2026-01-24T12:38:45.529Z,18.029,Spotify
2026-01-24T12:33:32.724Z,15.627,POCO Launcher
2026-01-24T12:32:53.862Z,38.82,Mobilny USOS PW
2026-01-24T12:32:50.404Z,3.454,Mobilny USOS PW
2026-01-24T12:05:30.971Z,15.736,Spotify
2026-01-24T12:02:06.880Z,36.976,Spotify
2026-01-24T12:02:01.824Z,5.044,Spotify
2026-01-24T12:01:53.073Z,8.743,Spotify
2026-01-24T11:58:47.982Z,31.502,Spotify
2026-01-24T11:58:34.857Z,13.109,POCO Launcher
2026-01-24T11:44:28.077Z,1.665,Spotify
2026-01-24T11:44:28.077Z,1.665,Spotify
2026-01-24T11:44:08.124Z,16.94,WhatsApp
2026-01-24T11:44:04.929Z,3.128,POCO Launcher
2026-01-24T11:44:04.282Z,0.599,WhatsApp
2026-01-24T11:44:01.154Z,2.991,POCO Launcher
2026-01-24T10:45:28.109Z,8.779,POCO Launcher
2026-01-24T10:21:21.968Z,2.275,WhatsApp
2026-01-24T10:21:18.817Z,3.127,POCO Launcher
2026-01-24T10:19:37.204Z,33.555,POCO Launcher
2026-01-24T10:19:06.788Z,30.409,Google
2026-01-24T10:15:21.242Z,0.443,POCO Launcher
2026-01-24T10:15:13.741Z,5.187,WhatsApp
2026-01-24T10:15:11.153Z,2.574,WhatsApp
2026-01-24T10:15:08.425Z,2.718,WhatsApp
2026-01-24T10:15:06.992Z,1.427,WhatsApp
2026-01-24T10:15:04.251Z,2.732,WhatsApp
2026-01-24T10:15:02.898Z,1.345,WhatsApp
2026-01-24T10:14:53.341Z,9.549,WhatsApp
2026-01-24T10:14:51.788Z,1.547,WhatsApp
2026-01-24T10:14:48.600Z,3.179,WhatsApp
2026-01-24T10:14:45.694Z,2.9,WhatsApp
2026-01-24T10:14:39.575Z,6.115,WhatsApp
2026-01-24T10:14:38.575Z,0.992,WhatsApp
2026-01-24T10:14:36.086Z,2.478,WhatsApp
2026-01-24T10:14:30.669Z,5.413,WhatsApp
2026-01-24T10:14:27.801Z,2.86,WhatsApp
2026-01-24T10:14:16.361Z,0.94,Spotify
2026-01-24T10:14:16.201Z,0.13,POCO Launcher
2026-01-24T10:14:10.199Z,0.205,POCO Launcher
2026-01-24T10:08:36.947Z,333.25,Telefon
